High,Close,Low,Volume,Open,Adj Close,Date,
"527.76","524.94","519.20","10154800","520.00","524.94","2014-04-17",
"521.09","519.01","514.14","7670200","518.05","519.01","2014-04-16",
"521.64","517.96","511.33","9501800","520.27","517.96","2014-04-15",
"522.16","521.68","517.21","7345500","521.90","521.68","2014-04-14",
"522.83","519.61","517.14","9704200","519.00","519.61","2014-04-11",
"532.24","523.48","523.17","8530600","530.68","523.48","2014-04-10",
"530.49","530.32","522.02","7337800","522.64","530.32","2014-04-09",
"526.12","523.44","518.70","8697800","525.19","523.44","2014-04-08",
"530.90","523.47","521.89","10309000","528.02","523.47","2014-04-07",
"540.00","531.82","530.58","9830400","539.81","531.82","2014-04-04",
"542.50","538.79","537.64","5798000","541.39","538.79","2014-04-03",
"543.48","542.55","540.26","6443600","542.38","542.55","2014-04-02",
"541.87","541.65","536.77","7170000","537.76","541.65","2014-04-01",
"540.81","536.74","535.93","6023900","539.23","536.74","2014-03-31",
"538.94","536.86","534.25","7163000","538.32","536.86","2014-03-28",
"541.50","537.46","535.12","7929700","540.02","537.46","2014-03-27",
"549.00","539.78","538.86","10706000","546.52","539.78","2014-03-26",
"545.75","544.99","539.59","10081900","541.50","544.99","2014-03-25",
"540.50","539.19","535.06","12703600","538.42","539.19","2014-03-24",
"533.75","532.87","526.33","13373200","531.93","532.87","2014-03-21",
"532.67","528.70","527.35","7442800","529.89","528.70","2014-03-20",
"536.24","531.26","529.00","8027000","532.26","531.26","2014-03-19",
"531.97","531.40","525.20","7487400","525.90","531.40","2014-03-18",
"529.97","526.74","525.85","7126600","527.70","526.74","2014-03-17",
"530.89","524.69","523.00","8471400","528.79","524.69","2014-03-14",
"539.66","530.65","529.16","9205100","537.44","530.65","2014-03-13",
"537.35","536.61","532.00","7170800","534.51","536.61","2014-03-12",
"538.74","536.09","532.59","10028400","535.45","536.09","2014-03-11",
"533.33","530.92","528.34","6378000","528.36","530.92","2014-03-10",
"531.98","530.44","526.05","7883200","531.09","530.44","2014-03-07",
"534.44","530.75","528.10","6624600","532.79","530.75","2014-03-06",
"534.75","532.36","529.13","7145100","530.92","532.36","2014-03-05",
"532.64","531.24","527.77","9255000","531.00","531.24","2014-03-04",
